Party,avg_seats,color,polit_posit,polit_color,1949,1953,1957,1961,1965,1969,1972,1976,1980,1983,1987,1990(Reuni),1994,1998,2002,2005,2009,2013,2017,2021
CDU/CSU,243,black,Center-right,blue,139,243,270,242,245,242,225,243,227,244,223,319,294,245,248,226,239,311,246,197
SPD,203,red,Center-left,red,131,151,169,190,202,224,230,214,218,193,186,239,252,298,251,222,146,193,153,206
FDP,52,yellow,Liberal,yellow,52,48,41,67,49,30,41,39,52,34,46,79,47,43,47,61,93,0,80,92
Die Linke (PDS),19,pruple,Left,burgundy,0,0,0,0,0,0,0,0,0,0,0,17,30,36,2,54,76,64,69,39
Grüne,30,green,Greens,green,0,0,0,0,0,0,0,0,0,27,42,8,49,47,55,51,68,63,67,118
Afd,9,light blue,far-right,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,80
Other,7,grey,other,grey,80,42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,,,,,,,,,,,,,,,,,,,,,,,,
CDU,197,black,Center-right,blue,115,191,215,192,196,193,177,190,174,191,174,268,244,198,190,180,194,255,200,
CSU,49,blue,Center-right,blue,24,52,55,50,49,49,48,53,53,53,49,51,50,47,58,46,45,56,46,