year,cdu_csu_seats,spd_seats,fdp_seats,linke_pds_seats,greens_seats,afd_seats,other_seats,Total Seats,cdu_seats,csu_seats,old_rw_parties,other_non_rw_parties
avg_seats,243,203,52,19,30,9,7,564,194,49,,
1949,139,131,52,0,0,0,80,402,115,24,34,
1953,243,151,48,0,0,0,42,484,191,52,42,
1957,270,169,41,0,0,0,17,497,215,55,17,
1961,242,190,67,0,0,0,0,499,192,50,0,
1965,245,202,49,0,0,0,0,496,196,49,,
1969,242,224,30,0,0,0,0,496,193,49,,
1972,225,230,41,0,0,0,0,496,177,48,,
1976,243,214,39,0,0,0,0,496,190,53,,
1980,227,218,52,0,0,0,0,497,174,53,,
1983,244,193,34,0,27,0,0,498,191,53,,
1987,223,186,46,0,42,0,0,497,174,49,,
1990,319,239,79,17,8,0,0,662,268,51,,
1994,294,252,47,30,49,0,0,672,244,50,,
1998,245,298,43,36,47,0,0,669,198,47,,
2002,248,251,47,2,55,0,0,603,190,58,,
2005,226,222,61,54,51,0,0,614,180,46,,
2009,239,146,93,76,68,0,0,622,194,45,,
2013,311,193,0,64,63,0,0,631,255,56,,
2017,246,153,80,69,67,94,0,709,200,46,,
2021,197,206,92,39,118,80,4,736,152,45,,